0.12    12.71    5.32
0.13    11.09    4.89
0.15    9.44    4.57
0.18    8.93    4.66
0.20    10.08    5.32
0.218    11.29    6.03
0.24    9.03    5.13
0.26    7.63    4.59
0.28    6.90    4.34
0.33    5.87    4.12
0.365    5.53    4.07
0.44    4.70    3.67
0.55    3.55    3.06
0.7    2.66    2.43
0.9    1.70    1.70
1.25    1.00    1.00
1.65    0.624    0.624
2.2    0.382    0.382
3.4    0.182    0.182
5.0    0.095    0.095
7.0    0.070    0.070
9.0    0.157    0.157
9.7    0.208    0.208
10.0    0.192    0.192
12.0    0.098    0.098
15.0    0.053    0.053
18.0    0.083    0.083
20.0    0.075    0.075
25.0    0.048    0.048
35.0    0.013    0.013
60.0    0.0071    0.0071
100.0    0.0041    0.0041
250.0    0.0015    0.0015
350.0    7.65e-4 7.65e-4
450.0    4.63e-4    4.63e-4
850.0    1.3e-4    1.3e-4
1300.    5.55e-5    5.55e-5

